,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel,Organism
8913,KIF1B,O60333,Mitochondria,0,1,0,0,human
10152,KIF1B,O60333-2,Large Protein Complex,0,0,0,1,human
10153,KIF1B,O60333-3,Large Protein Complex,0,0,0,1,human
10154,KIF1C,O43896,Large Protein Complex,0,0,0,1,human
10925,KIF20A,O95235,Large Protein Complex,0,0,0,1,human
10155,KIF21A,Q7Z4S6,Large Protein Complex,0,0,0,1,human
8489,KIF22,Q14807,Nucleus,0,1,0,0,human
10156,KIF2A,O00139,Large Protein Complex,0,0,0,1,human
10157,KIF2C,Q99661,Large Protein Complex,0,0,0,1,human
10926,KIF4A,O95239,Large Protein Complex,0,0,0,1,human
10158,KIF5B,P33176,Large Protein Complex,0,0,0,1,human
10159,KIFC1,Q9BW19,Large Protein Complex,0,0,0,1,human
10927,KIFC3,Q9BVG8,Large Protein Complex,0,0,0,1,human
10928,KIN,O60870,Large Protein Complex,0,0,0,1,human
3101,KIR2DL1,P43626,Plasma membrane,1,0,0,0,human
3102,KIR2DL2,P43627,Plasma membrane,1,0,0,0,human
3103,KIR2DL3,P43628,Plasma membrane,1,0,0,0,human
3104,KIR2DL5A,Q8N109,Plasma membrane,1,0,0,0,human
3105,KIR2DL5B,Q8NHK3,Plasma membrane,1,0,0,0,human
3106,KIR2DS1,Q14954,Plasma membrane,1,0,0,0,human
3107,KIR2DS2,P43631,Plasma membrane,1,0,0,0,human
3108,KIR2DS3,Q14952,Plasma membrane,1,0,0,0,human
3109,KIR2DS4,P43632,Plasma membrane,1,0,0,0,human
3110,KIR2DS5,Q14953,Plasma membrane,1,0,0,0,human
3111,KIR3DL1,P43629,Plasma membrane,1,0,0,0,human
3112,KIR3DL2,P43630,Plasma membrane,1,0,0,0,human
3113,KIR3DL3,Q8N743,Plasma membrane,1,0,0,0,human
3114,KIR3DS1,Q14943,Plasma membrane,1,0,0,0,human
9606,KIRREL,Q96J84-2,Plasma membrane,0,0,0,1,human
3115,KIRREL1,Q96J84,Plasma membrane,1,0,0,0,human
3116,KIRREL2,Q6UWL6,Plasma membrane,1,0,0,0,human
3117,KISS1R,Q969F8,Plasma membrane,1,0,0,0,human
9607,KITLG,P21583,Plasma membrane,0,0,0,1,human
3118,KLB,Q86Z14,Plasma membrane,1,0,0,0,human
10646,KLC1,Q07866-6,Large Protein Complex,0,0,0,1,human
10160,KLC2,Q9H0B6,Large Protein Complex,0,0,0,1,human
3119,KLF1,Q13351,Nucleus,1,0,0,0,human
3120,KLF10,Q13118,Nucleus,1,0,0,0,human
3121,KLF11,O14901,Nucleus,1,0,0,0,human
3122,KLF12,Q9Y4X4,Nucleus,1,0,0,0,human
3123,KLF13,Q9Y2Y9,Nucleus,1,0,0,0,human
3124,KLF14,Q8TD94,Nucleus,1,0,0,0,human
3125,KLF15,Q9UIH9,Nucleus,1,0,0,0,human
3126,KLF16,Q9BXK1,Nucleus,1,0,0,0,human
3127,KLF17,Q5JT82,Nucleus,1,0,0,0,human
3128,KLF18,A0A0U1RQI7,Nucleus,1,0,0,0,human
3129,KLF2,Q9Y5W3,Nucleus,1,0,0,0,human
3130,KLF3,P57682,Nucleus,1,0,0,0,human
3131,KLF4,O43474,Nucleus,1,0,0,0,human
3132,KLF5,Q13887,Nucleus,1,0,0,0,human
3133,KLF6,Q99612,Nucleus,1,0,0,0,human
3134,KLF7,O75840,Nucleus,1,0,0,0,human
3135,KLF8,O95600,Nucleus,1,0,0,0,human
3136,KLF9,Q13886,Nucleus,1,0,0,0,human
3137,KLHDC1,Q8N7A1,Cytoplasm,1,0,0,0,human
3138,KLHDC2,Q9Y2U9,Nucleus,1,0,0,0,human
10161,KLHDC4,Q8TBB5,Large Protein Complex,0,0,0,1,human
3139,KLHL10,Q6JEL2,Cytoplasm,1,0,0,0,human
9058,KLHL13,Q9P2N7,Endosome,0,0,1,0,human
3140,KLHL15,Q96M94,Nucleus,1,0,0,0,human
11268,KLHL7,Q8IXQ5,Large Protein Complex,0,0,0,1,human
3141,KLLN,B2CW77,Nucleus,1,0,0,0,human
3142,KLRD1,Q13241,Plasma membrane,1,0,0,0,human
3143,KLRF2,D3W0D1,Plasma membrane,1,0,0,0,human
3144,KLRG1,Q96E93,Plasma membrane,1,0,0,0,human
3145,KLRK1,P26718,Plasma membrane,1,0,0,0,human
3146,KMO,O15229,Mitochondria,1,0,0,0,human
3147,KMT2A,Q03164,Nucleus,1,0,0,0,human
3148,KMT2B,Q9UMN6,Nucleus,1,0,0,0,human
3149,KMT2C,Q8NEZ4,Nucleus,1,0,0,0,human
3150,KMT2D,O14686,Nucleus,1,0,0,0,human
3151,KMT5A,Q9NQR1,Nucleus,1,0,0,0,human
3152,KMT5B,Q4FZB7,Nucleus,1,0,0,0,human
3153,KMT5C,Q86Y97,Nucleus,1,0,0,0,human
3154,KNL1,Q8NG31,Nucleus,1,0,0,0,human
3155,KNOP1,Q1ED39,Nucleus,1,0,0,0,human
10162,KNSTRN,Q9Y448,Large Protein Complex,0,0,0,1,human
11269,KNTC1,P50748,Large Protein Complex,0,0,0,1,human
10163,KPNA1,P52294,Large Protein Complex,0,0,0,1,human
10164,KPNA2,P52292,Large Protein Complex,0,0,0,1,human
10165,KPNA3,O00505,Large Protein Complex,0,0,0,1,human
10166,KPNA4,O00629,Large Protein Complex,0,0,0,1,human
3156,KPNA5,O15131,Cytoplasm,1,0,0,0,human
10167,KPNA6,O60684,Large Protein Complex,0,0,0,1,human
3157,KPNA7,A9QM74,Nucleus,1,0,0,0,human
10168,KPNB1,Q14974,Large Protein Complex,0,0,0,1,human
3158,KPRP,Q5T749,Cytoplasm,1,0,0,0,human
3159,KPTN,Q9Y664,Lysosome,1,0,0,0,human
8643,KRAS,P01116,Plasma membrane,0,1,0,0,human
9608,KRAS,P01116-2,Plasma membrane,0,0,0,1,human
3160,KREMEN1,Q96MU8,Plasma membrane,1,0,0,0,human
10169,KRI1,Q8N9T8,Large Protein Complex,0,0,0,1,human
11133,KRIT1,O00522,Large Protein Complex,0,0,0,1,human
10170,KRR1,Q13601,Large Protein Complex,0,0,0,1,human
3161,KRT1,P04264,Plasma membrane,1,0,0,0,human
3162,KRT17,Q04695,Cytoplasm,1,0,0,0,human
10929,KRT18,P05783,Large Protein Complex,0,0,0,1,human
3163,KRT20,P35900,Cytoplasm,1,0,0,0,human
3164,KRT25,Q7Z3Z0,Cytoplasm,1,0,0,0,human
3165,KRT27,Q7Z3Y8,Cytoplasm,1,0,0,0,human
3166,KRT28,Q7Z3Y7,Cytoplasm,1,0,0,0,human
3167,KRT7,P08729,Cytoplasm,1,0,0,0,human
3168,KRTCAP2,Q8N6L1,ER,1,0,0,0,human
10171,KTI12,Q96EK9,Large Protein Complex,0,0,0,1,human
3169,KTN1,Q86UP2,ER,1,0,0,0,human
3170,KXD1,Q9BQD3,Lysosome,1,0,0,0,human
3171,KYAT1,Q16773,Cytoplasm,1,0,0,0,human
8406,KYAT3,Q6YP21,Mitochondrion-Mtx,0,1,0,0,human
3172,KYNU,Q16719,Cytoplasm,1,0,0,0,human
3173,L1CAM,P32004,Plasma membrane,1,0,0,0,human
9609,L1CAM,P32004-2,Plasma membrane,0,0,0,1,human
3174,L2HGDH,Q9H9P8,Mitochondria,1,0,0,0,human
3175,L3MBTL1,Q9Y468,Nucleus,1,0,0,0,human
3176,L3MBTL2,Q969R5,Nucleus,1,0,0,0,human
3177,L3MBTL3,Q96JM7,Nucleus,1,0,0,0,human
3178,L3MBTL4,Q8NA19,Nucleus,1,0,0,0,human
3179,LACC1,Q8IV20,Peroxisome,1,0,0,0,human
3180,LACTB,P83111,Mitochondria,1,0,0,0,human
3181,LACTB2,Q53H82,Mitochondria,1,0,0,0,human
3182,LAIR1,Q6GTX8,Plasma membrane,1,0,0,0,human
9255,LAMA1,P25391,Endosome,0,0,0,1,human
9328,LAMA5,O15230,ER,0,0,0,1,human
8282,LAMB1,P07942,ER-Membrane,0,1,0,0,human
9292,LAMB3,Q13751,ER,0,0,0,1,human
8240,LAMC1,P11047,ER-Membrane,0,1,0,0,human
3183,LAMP1,P11279,Lysosome,1,0,0,0,human
3184,LAMP2,P13473,Lysosome,1,0,0,0,human
9526,LAMP2,P13473-2,Lysosome,0,0,0,1,human
3185,LAMP3,Q9UQV4,Lysosome,1,0,0,0,human
3186,LAMTOR1,Q6IAA8,Lysosome,1,0,0,0,human
3187,LAMTOR2,Q9Y2Q5,Lysosome,1,0,0,0,human
3188,LAMTOR3,Q9UHA4,Lysosome,1,0,0,0,human
3189,LAMTOR4,Q0VGL1,Lysosome,1,0,0,0,human
3190,LAMTOR5,O43504,Lysosome,1,0,0,0,human
11270,LANCL1,O43813,Large Protein Complex,0,0,0,1,human
10930,LANCL2,Q9NS86,Large Protein Complex,0,0,0,1,human
3191,LAP3,P28838,Cytoplasm,1,0,0,0,human
3192,LAPTM4A,Q15012,Lysosome,1,0,0,0,human
3193,LAPTM4B,Q86VI4,Lysosome,1,0,0,0,human
3194,LAPTM5,Q13571,Lysosome,1,0,0,0,human
3195,LARGE1,O95461,Golgi,1,0,0,0,human
3196,LARGE2,Q8N3Y3,Golgi,1,0,0,0,human
10172,LARP1,Q6PKG0,Large Protein Complex,0,0,0,1,human
10173,LARP1B,Q659C4,Large Protein Complex,0,0,0,1,human
10174,LARP4,Q71RC2,Large Protein Complex,0,0,0,1,human
10175,LARP4B,Q92615,Large Protein Complex,0,0,0,1,human
3197,LARP7,Q4G0J3,Nucleus,1,0,0,0,human
3198,LARS1,Q9P2J5,Cytoplasm,1,0,0,0,human
3199,LARS2,Q15031,Mitochondria,1,0,0,0,human
8490,LAS1L,Q9Y4W2,Nucleus,0,1,0,0,human
11134,LAS1L,Q9Y4W2-2,Large Protein Complex,0,0,0,1,human
9801,LASP1,Q14847,Actin binding proteins,0,0,0,1,human
3200,LAT,O43561,Plasma membrane,1,0,0,0,human
3201,LAT2,Q9UHI5,Plasma membrane,1,0,0,0,human
3202,LAT2,Q9GZY6,Plasma membrane,1,0,0,0,human
10931,LATS1,O95835,Large Protein Complex,0,0,0,1,human
11271,LATS2,Q9NRM7,Large Protein Complex,0,0,0,1,human
3203,LAX1,Q8IWV1,Plasma membrane,1,0,0,0,human
8283,LBR,Q14739,ER-Membrane,0,1,0,0,human
3204,LBX1,P52954,Nucleus,1,0,0,0,human
3205,LBX2,Q6XYB7,Nucleus,1,0,0,0,human
3206,LCLAT1,Q6UWP7,ER,1,0,0,0,human
11135,LCMT2,O60294,Large Protein Complex,0,0,0,1,human
3207,LCOR,Q96JN0,Nucleus,1,0,0,0,human
3208,LCORL,Q8N3X6,Nucleus,1,0,0,0,human
3209,LCP2,Q13094,Cytoplasm,1,0,0,0,human
3210,LCT,P09848,Plasma membrane,1,0,0,0,human
3211,LCTL,Q6UWM7,ER,1,0,0,0,human
3212,LDAH,Q9H6V9,ER,1,0,0,0,human
3213,LDB1,Q86U70,Nucleus,1,0,0,0,human
3214,LDB2,O43679,Nucleus,1,0,0,0,human
3215,LDHA,P00338,Cytoplasm,1,0,0,0,human
3216,LDHAL6A,Q6ZMR3,Cytoplasm,1,0,0,0,human
3217,LDHB,P07195,Cytoplasm,1,0,0,0,human
3218,LDHC,P07864,Cytoplasm,1,0,0,0,human
3219,LDHD,Q86WU2,Mitochondria,1,0,0,0,human
8162,LDLR,P01130,Endosome,0,1,0,0,human
3220,LDLRAD3,Q86YD5,Plasma membrane,1,0,0,0,human
3221,LDLRAD4,O15165,Endosome,1,0,0,0,human
3222,LDLRAP1,Q5SW96,Cytoplasm,1,0,0,0,human
3223,LDOC1,O95751,Nucleus,1,0,0,0,human
3224,LEF1,Q9UJU2,Nucleus,1,0,0,0,human
3225,LEMD2,Q8NC56,Nucleus,1,0,0,0,human
3226,LEMD3,Q9Y2U8,Nucleus,1,0,0,0,human
10647,LENG1,Q96BZ8,Large Protein Complex,0,0,0,1,human
11136,LENG9,Q96B70,Large Protein Complex,0,0,0,1,human
3227,LEO1,Q8WVC0,Nucleus,1,0,0,0,human
9293,LEPREL1,Q8IVL5,ER,0,0,0,1,human
9176,LEPROTL1,O95214,Endosome,0,0,0,1,human
3228,LETM1,O95202,Mitochondria,1,0,0,0,human
3229,LETM2,Q2VYF4,Mitochondria,1,0,0,0,human
3230,LETMD1,Q6P1Q0,Mitochondria,1,0,0,0,human
3231,LEUTX,A8MZ59,Nucleus,1,0,0,0,human
3232,LFNG,Q8NES3,Golgi,1,0,0,0,human
9513,LGALS1,P09382,Golgi,0,0,0,1,human
3233,LGALS12,Q96DT0,Nucleus,1,0,0,0,human
3234,LGALS14,Q8TCE9,Nucleus,1,0,0,0,human
9643,LGALS3,P17931,Plasma membrane,0,0,0,1,human
8216,LGALS3BP,Q08380,ER-Lumen,0,1,0,0,human
3235,LGMN,Q99538,Lysosome,1,0,0,0,human
3236,LGR4,Q9BXB1,Plasma membrane,1,0,0,0,human
3237,LGR6,Q9HBX8,Plasma membrane,1,0,0,0,human
3238,LHCGR,P22888,Plasma membrane,1,0,0,0,human
3239,LHFPL4,Q86UP9,Plasma membrane,1,0,0,0,human
3240,LHFPL4,Q7Z7J7,Plasma membrane,1,0,0,0,human
3241,LHFPL5,Q8TAF8,Plasma membrane,1,0,0,0,human
3242,LHX1,P48742,Nucleus,1,0,0,0,human
3243,LHX2,P50458,Nucleus,1,0,0,0,human
3244,LHX3,Q9UBR4,Nucleus,1,0,0,0,human
3245,LHX4,Q969G2,Nucleus,1,0,0,0,human
3246,LHX5,Q9H2C1,Nucleus,1,0,0,0,human
3247,LHX6,Q9UPM6,Nucleus,1,0,0,0,human
3248,LHX8,Q68G74,Nucleus,1,0,0,0,human
3249,LHX9,Q9NQ69,Nucleus,1,0,0,0,human
3250,LIAS,O43766,Mitochondria,1,0,0,0,human
9366,LIFR,P42702,ER,0,0,0,1,human
3251,LIG1,P18858,Nucleus,1,0,0,0,human
10932,LIG3,P49916,Large Protein Complex,0,0,0,1,human
3252,LIG4,P49917,Nucleus,1,0,0,0,human
3253,LILRA4,P59901,Plasma membrane,1,0,0,0,human
3254,LILRB2,Q8N423,Plasma membrane,1,0,0,0,human
3255,LILRB3,O75022,Plasma membrane,1,0,0,0,human
3256,LILRB4,Q8NHJ6,Plasma membrane,1,0,0,0,human
9802,LIMA1,Q9UHB6,Actin binding proteins,0,0,0,1,human
8103,LIMCH1,Q9UPQ0,Actin binding proteins,0,1,0,0,human
9790,LIMCH1,Q9UPQ0-10,Actin binding proteins,0,0,0,1,human
3257,LIME1,Q9H400,Plasma membrane,1,0,0,0,human
10176,LIMS1,P48059,Large Protein Complex,0,0,0,1,human
3258,LIMS3,P0CW19,Cytoplasm,1,0,0,0,human
3259,LIN54,Q6MZP7,Nucleus,1,0,0,0,human
3260,LIN7A,O14910,Plasma membrane,1,0,0,0,human
3261,LIN7B,Q9HAP6,Plasma membrane,1,0,0,0,human
3262,LIN7C,Q9NUP9,Plasma membrane,1,0,0,0,human
3263,LIN9,Q5TKA1,Nucleus,1,0,0,0,human
3264,LINGO1,Q96FE5,Plasma membrane,1,0,0,0,human
3265,LIPA,P38571,Lysosome,1,0,0,0,human
3266,LIPT1,Q9Y234,Mitochondria,1,0,0,0,human
3267,LIPT2,A6NK58,Mitochondria,1,0,0,0,human
9200,LIX1L,Q8IVB5,Endosome,0,0,0,1,human
9725,LLGL1,Q15334,Plasma membrane,0,0,0,1,human
8644,LLGL2,Q6P1M3,Plasma membrane,0,1,0,0,human
3268,LLPH,Q9BRT6,Nucleus,1,0,0,0,human
3269,LMAN1,P49257,Ergic/cisGolgi,1,0,0,0,human
3270,LMAN1L,Q9HAT1,Ergic/cisGolgi,1,0,0,0,human
3271,LMAN2,Q12907,Ergic/cisGolgi,1,0,0,0,human
8203,LMAN2L,Q9H0V9,Ergic/cisGolgi,0,1,0,0,human
3272,LMBRD1,Q9NUN5,Lysosome,1,0,0,0,human
9177,LMBRD1,Q9NUN5-3,Endosome,0,0,0,1,human
3273,LMBRD2,Q68DH5,Plasma membrane,1,0,0,0,human
3274,LMF1,Q96S06,ER,1,0,0,0,human
3275,LMF2,Q9BU23,ER,1,0,0,0,human
3276,LMNA,P02545,Nucleus,1,0,0,0,human
3277,LMNB1,P20700,Nucleus,1,0,0,0,human
3278,LMNB2,Q03252,Nucleus,1,0,0,0,human
3279,LMO1,P25800,Nucleus,1,0,0,0,human
3280,LMO2,P25791,Nucleus,1,0,0,0,human
9788,LMO7,Q8WWI1-3,Actin binding proteins,0,0,0,1,human
3281,LMX1A,Q8TE12,Nucleus,1,0,0,0,human
3282,LMX1B,O60663,Nucleus,1,0,0,0,human
8163,LNPEP,Q9UIQ6,Endosome,0,1,0,0,human
3283,LNPK,Q9C0E8,ER,1,0,0,0,human
3284,LNX1,Q8TBB1,Cytoplasm,1,0,0,0,human
3285,LONP1,P36776,Mitochondria,1,0,0,0,human
3286,LONP2,Q86WA8,Peroxisome,1,0,0,0,human
8284,LOXL2,Q9Y4K0,ER-Membrane,0,1,0,0,human
3287,LPAR2,Q9HBW0,Plasma membrane,1,0,0,0,human
3288,LPAR3,Q9UBY5,Plasma membrane,1,0,0,0,human
3289,LPAR4,Q99677,Plasma membrane,1,0,0,0,human
3290,LPAR5,Q9H1C0,Plasma membrane,1,0,0,0,human
3291,LPAR6,P43657,Plasma membrane,1,0,0,0,human
8285,LPCAT1,Q8NF37,ER-Membrane,0,1,0,0,human
8286,LPCAT2,Q7L5N7,ER-Membrane,0,1,0,0,human
3292,LPCAT3,Q6P1A2,ER,1,0,0,0,human
3293,LPCAT4,Q643R3,ER,1,0,0,0,human
3294,LPCAT4,Q6ZWT7,ER,1,0,0,0,human
3295,LPGAT1,Q92604,ER,1,0,0,0,human
3296,LPIN3,Q9BQK8,Nucleus,1,0,0,0,human
9726,LPL,P06858,Plasma membrane,0,0,0,1,human
9472,LPP,Q93052,Golgi,0,0,0,1,human
3297,LRATD1,Q96KN4,Cytoplasm,1,0,0,0,human
10648,LRBA,P50851,Large Protein Complex,0,0,0,1,human
3298,LRCH1,Q9Y2L9,Cytoplasm,1,0,0,0,human
9228,LRCH1,Q9Y2L9-2,Endosome,0,0,0,1,human
3299,LRCH3,Q96II8,Cytoplasm,1,0,0,0,human
9410,LRCH4,O75427,ER_high_curvature,0,0,0,1,human
3300,LRFN1,Q9P244,Plasma membrane,1,0,0,0,human
3301,LRFN2,Q9ULH4,Plasma membrane,1,0,0,0,human
3302,LRFN3,Q9BTN0,Plasma membrane,1,0,0,0,human
3303,LRIF1,Q5T3J3,Nucleus,1,0,0,0,human
3304,LRIG1,Q96JA1,Plasma membrane,1,0,0,0,human
3305,LRIT1,Q9P2V4,ER,1,0,0,0,human
3306,LRIT3,Q3SXY7,ER,1,0,0,0,human
8164,LRP1,Q07954,Endosome,0,1,0,0,human
9041,LRP11,Q86VZ4,Endosome,0,0,1,0,human
3307,LRP4,O75096,Plasma membrane,1,0,0,0,human
8645,LRP6,O75581,Plasma membrane,0,1,0,0,human
8165,LRP8,Q14114,Endosome,0,1,0,0,human
8287,LRPAP1,P30533,ER-Membrane,0,1,0,0,human
8407,LRPPRC,P42704,Mitochondrion-Mtx,0,1,0,0,human
9678,LRRC1,Q9BTT6,Plasma membrane,0,0,0,1,human
3308,LRRC10,Q5BKY1,Nucleus,1,0,0,0,human
3309,LRRC14,Q15048,Cytoplasm,1,0,0,0,human
10177,LRRC16A,Q5VZK9,Large Protein Complex,0,0,0,1,human
3310,LRRC18,Q8N456,Cytoplasm,1,0,0,0,human
3311,LRRC32,Q14392,Plasma membrane,1,0,0,0,human
3312,LRRC38,Q5VT99,Plasma membrane,1,0,0,0,human
3313,LRRC4,Q9HBW1,Plasma membrane,1,0,0,0,human
10178,LRRC40,Q9H9A6,Large Protein Complex,0,0,0,1,human
10933,LRRC41,Q15345,Large Protein Complex,0,0,0,1,human
11137,LRRC47,Q8N1G4,Large Protein Complex,0,0,0,1,human
3314,LRRC4B,Q9NT99,Plasma membrane,1,0,0,0,human
3315,LRRC4C,Q9HCJ2,Plasma membrane,1,0,0,0,human
3316,LRRC52,Q8N7C0,Plasma membrane,1,0,0,0,human
3317,LRRC55,Q6ZSA7,Plasma membrane,1,0,0,0,human
8646,LRRC57,Q8N9N7,Plasma membrane,0,1,0,0,human
8288,LRRC59,Q96AG4,ER-Membrane,0,1,0,0,human
8647,LRRC8A,Q8IWT6,Plasma membrane,0,1,0,0,human
9727,LRRC8D,Q7L1W4,Plasma membrane,0,0,0,1,human
9762,LRRC8E,Q6NSJ5,Plasma membrane,0,0,0,1,human
10179,LRRFIP1,Q32MZ4-3,Large Protein Complex,0,0,0,1,human
8104,LRRFIP2,Q9Y608,Actin binding proteins,0,1,0,0,human
9791,LRRFIP2,Q9Y608-4,Actin binding proteins,0,0,0,1,human
3318,LRRK1,Q38SD2,Cytoplasm,1,0,0,0,human
3319,LRRTM1,Q86UE6,Plasma membrane,1,0,0,0,human
3320,LRRTM2,O43300,Plasma membrane,1,0,0,0,human
3321,LRRTM3,Q86VH5,Plasma membrane,1,0,0,0,human
3322,LRRTM4,Q86VH4,Plasma membrane,1,0,0,0,human
3323,LRSAM1,Q6UWE0,Cytoplasm,1,0,0,0,human
3324,LRTOMT,Q8WZ04,Cytoplasm,1,0,0,0,human
3325,LRTOMT,Q96E66,Cytoplasm,1,0,0,0,human
3326,LSAMP,Q13449,Plasma membrane,1,0,0,0,human
8289,LSG1,Q9H089,ER-Membrane,0,1,0,0,human
10934,LSM1,O15116,Large Protein Complex,0,0,0,1,human
3327,LSM10,Q969L4,Nucleus,1,0,0,0,human
3328,LSM11,P83369,Nucleus,1,0,0,0,human
10180,LSM12,Q3MHD2,Large Protein Complex,0,0,0,1,human
10649,LSM14A,Q8ND56,Large Protein Complex,0,0,0,1,human
10181,LSM14B,Q9BX40,Large Protein Complex,0,0,0,1,human
3329,LSM2,Q9Y333,Nucleus,1,0,0,0,human
3330,LSM3,P62310,Nucleus,1,0,0,0,human
3331,LSM4,Q9Y4Z0,Nucleus,1,0,0,0,human
3332,LSM5,Q9Y4Y9,Nucleus,1,0,0,0,human
9042,LSM6,P62312,Endosome,0,0,1,0,human
3333,LSM7,Q9UK45,Nucleus,1,0,0,0,human
3334,LSM8,O95777,Nucleus,1,0,0,0,human
3335,LSR,Q86X29,Plasma membrane,1,0,0,0,human
3336,LSS,P48449,ER,1,0,0,0,human
3337,LTA4H,P09960,Cytoplasm,1,0,0,0,human
3338,LTB4R,Q15722,Plasma membrane,1,0,0,0,human
3339,LTB4R2,Q9NPC1,Plasma membrane,1,0,0,0,human
9763,LTBP3,Q9NS15,Plasma membrane,0,0,0,1,human
9728,LTBR,P36941,Plasma membrane,0,0,0,1,human
9024,LTF,P02788,Endosome,0,0,1,0,human
9229,LTN1,O94822,Endosome,0,0,0,1,human
3340,LTO1,Q8WV07,Nucleus,1,0,0,0,human
11138,LTV1,Q96GA3,Large Protein Complex,0,0,0,1,human
10182,LUC7L,Q9NQ29,Large Protein Complex,0,0,0,1,human
3341,LUC7L2,Q9Y383,Nucleus,1,0,0,0,human
3342,LUC7L3,O95232,Nucleus,1,0,0,0,human
3343,LURAP1,Q96LR2,Cytoplasm,1,0,0,0,human
3344,LUZP1,Q86V48,Nucleus,1,0,0,0,human
3345,LXN,Q9BS40,Cytoplasm,1,0,0,0,human
3346,LY6D,Q14210,Plasma membrane,1,0,0,0,human
3347,LY6E,Q16553,Plasma membrane,1,0,0,0,human
3348,LY6G6C,O95867,Plasma membrane,1,0,0,0,human
3349,LY6G6D,O95868,Plasma membrane,1,0,0,0,human
3350,LY6G6F,Q5SQ64,Plasma membrane,1,0,0,0,human
3351,LY6H,O94772,Plasma membrane,1,0,0,0,human
9367,LY6K,Q17RY6,ER,0,0,0,1,human
3352,LY6L,H3BQJ8,Plasma membrane,1,0,0,0,human
3353,LY9,Q9HBG7,Plasma membrane,1,0,0,0,human
8491,LYAR,Q9NX58,Nucleus,0,1,0,0,human
3354,LYL1,P12980,Nucleus,1,0,0,0,human
8648,LYN,P07948,Plasma membrane,0,1,0,0,human
3355,LYPD1,Q8N2G4,Plasma membrane,1,0,0,0,human
3356,LYPD2,Q6UXB3,Plasma membrane,1,0,0,0,human
3357,LYPD3,O95274,Plasma membrane,1,0,0,0,human
3358,LYPD4,Q6UWN0,Plasma membrane,1,0,0,0,human
3359,LYPD5,Q6UWN5,Plasma membrane,1,0,0,0,human
3360,LYPD6B,Q8NI32,Plasma membrane,1,0,0,0,human
8408,LYPLA1,O75608,Mitochondrion-Mtx,0,1,0,0,human
3361,LYPLA2,O95372,Cytoplasm,1,0,0,0,human
3362,LYPLAL1,Q5VWZ2,Cytoplasm,1,0,0,0,human
3363,LYRM1,O43325,Nucleus,1,0,0,0,human
8914,LYRM2,Q9NU23,Mitochondria,0,1,0,0,human
8915,LYRM4,Q9HD34,Mitochondria,0,1,0,0,human
3364,LYRM7,Q5U5X0,Mitochondria,1,0,0,0,human
8916,LYRM9,A8MSI8,Mitochondria,0,1,0,0,human
3365,LYST,Q99698,Cytoplasm,1,0,0,0,human
3366,LZTFL1,Q9NQ48,Cytoplasm,1,0,0,0,human
3367,M1AP,Q8TC57,Cytoplasm,1,0,0,0,human
8166,M6PR,P20645,Endosome,0,1,0,0,human
3368,MAB21L1,Q13394,Nucleus,1,0,0,0,human
10183,MACF1,Q9UPN3-2,Large Protein Complex,0,0,0,1,human
3369,MACROD1,Q9BQ69,Nucleus,1,0,0,0,human
3370,MACROD2,A1Z1Q3,Nucleus,1,0,0,0,human
11272,MAD1L1,Q9Y6D9,Large Protein Complex,0,0,0,1,human
10935,MAD2L1,Q13257,Large Protein Complex,0,0,0,1,human
10936,MADD,Q8WXG6-3,Large Protein Complex,0,0,0,1,human
11139,MAEA,Q7L5Y9,Large Protein Complex,0,0,0,1,human
3371,MAF,O75444,Nucleus,1,0,0,0,human
3372,MAFA,Q8NHW3,Nucleus,1,0,0,0,human
3373,MAFB,Q9Y5Q3,Nucleus,1,0,0,0,human
3374,MAFF,Q9ULX9,Nucleus,1,0,0,0,human
3375,MAFG,O15525,Nucleus,1,0,0,0,human
3376,MAFK,O60675,Nucleus,1,0,0,0,human
3377,MAG,P20916,Plasma membrane,1,0,0,0,human
3378,MAGEA10,P43363,Nucleus,1,0,0,0,human
3379,MAGEA2,P43356,Nucleus,1,0,0,0,human
3380,MAGEB18,Q96M61,Cytoplasm,1,0,0,0,human
9073,MAGEB2,O15479,Endosome,0,0,1,0,human
3381,MAGEB4,O15481,Cytoplasm,1,0,0,0,human
10184,MAGED2,Q9UNF1,Large Protein Complex,0,0,0,1,human
3382,MAGI1,Q96QZ7,Plasma membrane,1,0,0,0,human
3383,MAGI1,Q6P9H4,Plasma membrane,1,0,0,0,human
11273,MAGOH,P61326,Large Protein Complex,0,0,0,1,human
3384,MAGOHB,Q96A72,Nucleus,1,0,0,0,human
8290,MAGT1,Q9H0U3,ER-Membrane,0,1,0,0,human
3385,MAIP1,Q8WWC4,Mitochondria,1,0,0,0,human
3386,MAJIN,Q3KP22,Nucleus,1,0,0,0,human
3387,MAK16,Q9BXY0,Nucleus,1,0,0,0,human
9256,MAL2,Q969L2,Endosome,0,0,0,1,human
3388,MALSU1,Q96EH3,Mitochondria,1,0,0,0,human
9329,MAMDC2,Q7Z304,ER,0,0,0,1,human
3389,MAML1,Q92585,Nucleus,1,0,0,0,human
3390,MAML2,Q8IZL2,Nucleus,1,0,0,0,human
3391,MAML3,Q96JK9,Nucleus,1,0,0,0,human
3392,MAMLD1,Q13495,Nucleus,1,0,0,0,human
3393,MAMSTR,Q6ZN01,Nucleus,1,0,0,0,human
3394,MAN1A1,P33908,Golgi,1,0,0,0,human
