,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel,Organism
8081,ZSCAN5B,A6NJL1,Nucleus,1,0,0,0,human
8082,ZSCAN5C,A6NGD5,Nucleus,1,0,0,0,human
8083,ZSCAN5DP,P0CG00,Nucleus,1,0,0,0,human
8084,ZSCAN9,O15535,Nucleus,1,0,0,0,human
8085,ZSWIM7,Q19AV6,Nucleus,1,0,0,0,human
9421,ZW10,O43264,ER_high_curvature,0,0,0,1,human
8086,ZWINT,O95229,Nucleus,1,0,0,0,human
8087,ZXDA,P98168,Nucleus,1,0,0,0,human
8088,ZXDB,P98169,Nucleus,1,0,0,0,human
8089,ZXDC,Q2QGD7,Nucleus,1,0,0,0,human
8132,ZYX,Q15942,Actin binding proteins,0,1,0,0,human
8090,ZZZ3,Q8IYH5,Nucleus,1,0,0,0,human
20000,A3galt2,NO,Golgi,0,0,0,0,mouse
20001,A4galt,NO,Golgi,0,0,0,0,mouse
20002,A4gnt,NO,Golgi,0,0,0,0,mouse
20003,Aaas,NO,ER,0,0,0,0,mouse
20004,Aacs,NO,Cytoplasm,0,0,0,0,mouse
20005,Aadac,NO,ER,0,0,0,0,mouse
20006,Aadat,NO,Mitochondria,0,0,0,0,mouse
20007,Aagab,NO,Cytoplasm,0,0,0,0,mouse
20008,Aak1,NO,Plasma membrane,0,0,0,0,mouse
20009,Aamp,NO,Large Protein Complex,0,0,0,0,mouse
20010,Aanat,NO,Cytoplasm,0,0,0,0,mouse
20011,Aars,NO,Cytoplasm,0,0,0,0,mouse
20012,Aars2,NO,Mitochondria,0,0,0,0,mouse
20013,Aarsd1,NO,Cytoplasm,0,0,0,0,mouse
20014,Aasdhppt,NO,Cytoplasm,0,0,0,0,mouse
20015,Aass,NO,Mitochondria,0,0,0,0,mouse
20016,Aatf,NO,Nucleus,0,0,0,0,mouse
20017,Abat,NO,Mitochondria,0,0,0,0,mouse
20018,Abca13,NO,Mitochondria,0,0,0,0,mouse
20019,Abca2,NO,Endosome,0,0,0,0,mouse
20020,Abca3,NO,Lysosome,0,0,0,0,mouse
20021,Abca4,NO,ER,0,0,0,0,mouse
20022,Abca8b,NO,Plasma membrane,0,0,0,0,mouse
20023,Abcb1a,NO,Plasma membrane,0,0,0,0,mouse
20024,Abcb10,NO,Mitochondria,0,0,0,0,mouse
20025,Abcb5,NO,Plasma membrane,0,0,0,0,mouse
20026,Abcb6,NO,Lysosome,0,0,0,0,mouse
20027,Abcb7,NO,Mitochondria,0,0,0,0,mouse
20028,Abcb8,NO,Mitochondria,0,0,0,0,mouse
20029,Abcb9,NO,Lysosome,0,0,0,0,mouse
20030,Abcc1,NO,Plasma membrane,0,0,0,0,mouse
20031,Abcc10,NO,Plasma membrane,0,0,0,0,mouse
20032,Abcc2,NO,Plasma membrane,0,0,0,0,mouse
20033,Abcc3,NO,Plasma membrane,0,0,0,0,mouse
20034,Abcc4,NO,Plasma membrane,0,0,0,0,mouse
20035,Abcc5,NO,Plasma membrane,0,0,0,0,mouse
20036,Abcc8,NO,Plasma membrane,0,0,0,0,mouse
20037,Abcd1,NO,Peroxisome,0,0,0,0,mouse
20038,Abcd2,NO,Peroxisome,0,0,0,0,mouse
20039,Abcd3,NO,Peroxisome,0,0,0,0,mouse
20040,Abcd4,NO,Peroxisome,0,0,0,0,mouse
20041,Abce1,NO,Endosome,0,0,0,0,mouse
20042,Abcf1,NO,Large Protein Complex,0,0,0,0,mouse
20043,Abcf2,NO,Mitochondria,0,0,0,0,mouse
20044,Abcf3,NO,Large Protein Complex,0,0,0,0,mouse
20045,Abcg2,NO,Plasma membrane,0,0,0,0,mouse
20046,Abcg5,NO,Plasma membrane,0,0,0,0,mouse
20047,Abcg8,NO,Plasma membrane,0,0,0,0,mouse
20048,Abhd10,NO,Mitochondria,0,0,0,0,mouse
20049,Abhd11,NO,Mitochondria,0,0,0,0,mouse
20050,Abhd12,NO,ER,0,0,0,0,mouse
20051,Abhd13,NO,Endosome,0,0,0,0,mouse
20052,Abhd14b,NO,Large Protein Complex,0,0,0,0,mouse
20053,Abhd16a,NO,ER,0,0,0,0,mouse
20054,Abhd17a,NO,Endosome,0,0,0,0,mouse
20055,Abhd17b,NO,Endosome,0,0,0,0,mouse
20056,Abhd17c,NO,Endosome,0,0,0,0,mouse
20057,Abhd2,NO,Plasma membrane,0,0,0,0,mouse
20058,Abhd6,NO,ER-Membrane,0,0,0,0,mouse
20059,Abi1,NO,Large Protein Complex,0,0,0,0,mouse
20060,Abi2,NO,Large Protein Complex,0,0,0,0,mouse
20061,Abi3,NO,Cytoplasm,0,0,0,0,mouse
20062,Abitram,NO,Nucleus,0,0,0,0,mouse
20063,Abl1,NO,Large Protein Complex,0,0,0,0,mouse
20064,Abl2,NO,Large Protein Complex,0,0,0,0,mouse
20065,Ablim1,NO,Actin binding proteins,0,0,0,0,mouse
20066,Ablim3,NO,Cytoplasm,0,0,0,0,mouse
20067,Abo,NO,Golgi,0,0,0,0,mouse
20068,Abr,NO,Large Protein Complex,0,0,0,0,mouse
20069,Abraxas1,NO,Nucleus,0,0,0,0,mouse
20070,Abt1,NO,Nucleus,0,0,0,0,mouse
20071,Abtb1,NO,Cytoplasm,0,0,0,0,mouse
20072,Acaa1a,NO,Peroxisome,0,0,0,0,mouse
20073,Acaa2,NO,Mitochondria,0,0,0,0,mouse
20074,Acaca,NO,Cytoplasm,0,0,0,0,mouse
20075,Acacb,NO,Mitochondria,0,0,0,0,mouse
20076,Acad10,NO,Mitochondria,0,0,0,0,mouse
20077,Acad11,NO,Mitochondria,0,0,0,0,mouse
20078,Acad8,NO,Mitochondria,0,0,0,0,mouse
20079,Acad9,NO,Mitochondria,0,0,0,0,mouse
20080,Acadl,NO,Mitochondria,0,0,0,0,mouse
20081,Acadm,NO,Mitochondria,0,0,0,0,mouse
